name,id,formula,mz,adduct,ppm,rtmin,rtmax,scale,height,snr
Acetylcarnitine,HMDB00201,C9H17NO4,,,,,,,,
N-Acetylputrescine,HMDB02064,C6H14N2O,,,,,,,,
Kynurenic acid,HMDB00715,C10H7NO3,,,,,,,,
L-Carnitine,HMDB00062,C7H15NO3,,,,,,,,
Pyridoxine,HMDB00239,C7H15NO3,,,,,,,,
L-Arginine,HMDB00517,C6H14N4O2,,,,,,,,
Creatine,HMDB00064,C4H9N3O2,,,,,,,,
D-Biotin,HMDB00030,C10H16N2O3S,,,,,,,,
Urocanic acid,HMDB00301 ,C6H6N2O2,,,,,,,,
Purine,HMDB01366,C5H4N4,,,,,,,,
L-Pipecolic acid,HMDB00716,C6H11NO2,,,,,,,,
Nicotinamide,HMDB01406,C6H6N2O,,,,,,,,
Hypoxanthine,HMDB00157 ,C5H4N4O,,,,,,,,
Adenosine,HMDB00050,C10H13N5O4,,,,,,,,
Inosine,HMDB00195,C10H12N4O5,,,,,,,,
Guanosine,HMDB00133,C10H13N5O5,,,,,,,,
L-Lysine,HMDB00182,C6H14N2O2,,,,,,,,
Riboflavin (Vitamin B2),HMDB00244,C17H20N4O6,,,,,,,,
Glycerophosphocholine,HMDB00086,C8H20NO6P,,,,,,,,
3'-O-methylguanosine,HMDB06038,C11H15N5O5,,,,,,,,
Cytidine,HMDB00089,C9H13N3O5,,,,,,,,
L-Citrulline,HMDB00904,C6H13N3O3,,,,,,,,
"N2,N2-Dimethylguanosine",HMDB04824,C12H17N5O5,,,,,,,,
L-Pyroglutamic acid,HMDB00267,C5H7NO3,,,,,,,,
DL-2-Aminooctanoic acid,HMDB00991,C8H17NO2,,,,,,,,
L-Glutamine,HMDB00641,C5H10N2O3,,,,,,,,
2-Hydroxyadenine,HMDB00403,C5H5N5O,,,,,,,,
4-Aminobutyrate,HMDB00112,C4H9NO2,,,,,,,,
